,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,numPixelsOrig,numPixelsSub
238,4.055473,2.168302,60750000,141732001,20250000,0,4500,4500,0,0,7,7,20250000,0
239,4.007865,2.150273,62107500,144899301,20702500,0,4550,4550,0,0,7,7,20702500,0
241,4.008682,2.139482,63480000,148101601,21160000,0,4600,4600,0,0,7,7,21160000,0
131,3.856958,2.133414,63480000,148101601,21160000,0,4600,4600,0,0,7,7,21160000,0
242,4.052382,2.153816,64867500,151338901,21622500,0,4650,4650,0,0,7,7,21622500,0
243,4.04555,2.160913,66270000,154611201,22090000,0,4700,4700,0,0,7,7,22090000,0
245,4.02166,2.141608,67687500,157918501,22562500,0,4750,4750,0,0,7,7,22562500,0
134,4.121436,2.199256,69120000,161260801,23040000,0,4800,4800,0,0,7,7,23040000,0
246,4.645766,2.062939,69120000,161260801,23040000,0,4800,4800,0,0,7,7,23040000,0
247,4.296588,2.167625,70567500,164638101,23522500,0,4850,4850,0,0,7,7,23522500,0
248,4.225272,2.171757,72030000,168050401,24010000,0,4900,4900,0,0,7,7,24010000,0
249,4.268955,2.178352,73507500,171497701,24502500,0,4950,4950,0,0,7,7,24502500,0
136,4.062912,2.174601,75000000,174980001,25000000,0,5000,5000,0,0,7,7,25000000,0
0,4.868147,2.063212,75000000,174980001,25000000,0,5000,5000,0,0,7,7,25000000,0
1,5.018178,2.215271,76507500,178497301,25502500,0,5050,5050,0,0,7,7,25502500,0
3,4.8878,2.077741,78030000,182049601,26010000,0,5100,5100,0,0,7,7,26010000,0
4,4.682587,2.247808,79567500,185636901,26522500,0,5150,5150,0,0,7,7,26522500,0
5,4.517291,2.167418,81120000,189259201,27040000,0,5200,5200,0,0,7,7,27040000,0
138,4.150057,2.231026,81120000,189259201,27040000,0,5200,5200,0,0,7,7,27040000,0
7,4.873706,2.296576,82687500,192916501,27562500,0,5250,5250,0,0,7,7,27562500,0
8,4.774827,2.214527,84270000,196608801,28090000,0,5300,5300,0,0,7,7,28090000,0
9,4.611925,2.241959,85867500,200336101,28622500,0,5350,5350,0,0,7,7,28622500,0
10,4.484641,2.200194,87480000,204098401,29160000,0,5400,5400,0,0,7,7,29160000,0
140,4.236967,2.215744,87480000,204098401,29160000,0,5400,5400,0,0,7,7,29160000,0
11,5.014422,2.133483,89107500,207895701,29702500,0,5450,5450,0,0,7,7,29702500,0
12,5.321977,2.272518,90750000,211728001,30250000,0,5500,5500,0,0,7,7,30250000,0
13,5.037803,2.227689,92407500,215595301,30802500,0,5550,5550,0,0,7,7,30802500,0
142,4.657588,2.207619,94080000,219497601,31360000,0,5600,5600,0,0,7,7,31360000,0
15,4.867263,2.309535,94080000,219497601,31360000,0,5600,5600,0,0,7,7,31360000,0
16,4.861807,2.200564,95767500,223434901,31922500,0,5650,5650,0,0,7,7,31922500,0
17,4.859398,2.244106,97470000,227407201,32490000,0,5700,5700,0,0,7,7,32490000,0
19,4.796331,2.228767,99187500,231414501,33062500,0,5750,5750,0,0,7,7,33062500,0
20,4.908295,2.272879,100920000,235456801,33640000,0,5800,5800,0,0,7,7,33640000,0
144,4.149897,2.224452,100920000,235456801,33640000,0,5800,5800,0,0,7,7,33640000,0
21,4.982116,2.250588,102667500,239534101,34222500,0,5850,5850,0,0,7,7,34222500,0
22,5.010253,2.156740,104430000,243646401,34810000,0,5900,5900,0,0,7,7,34810000,0
23,5.002938,2.199393,106207500,247793701,35402500,0,5950,5950,0,0,7,7,35402500,0
25,5.037628,2.222489,108000000,251976001,36000000,0,6000,6000,0,0,7,7,36000000,0
146,4.410102,2.348359,108000000,251976001,36000000,0,6000,6000,0,0,7,7,36000000,0
26,5.347521,2.272396,109807500,256193301,36602500,0,6050,6050,0,0,7,7,36602500,0
28,5.234568,2.340963,111630000,260445601,37210000,0,6100,6100,0,0,7,7,37210000,0
29,5.063048,2.297732,113467500,264732901,37822500,0,6150,6150,0,0,7,7,37822500,0
149,4.235881,2.230726,115320000,269055201,38440000,0,6200,6200,0,0,7,7,38440000,0
30,5.163847,2.337401,115320000,269055201,38440000,0,6200,6200,0,0,7,7,38440000,0
31,5.283846,2.234856,117187500,273412501,39062500,0,6250,6250,0,0,7,7,39062500,0
33,5.154719,2.279500,119070000,277804801,39690000,0,6300,6300,0,0,7,7,39690000,0
34,5.039983,2.297255,120967500,282232101,40322500,0,6350,6350,0,0,7,7,40322500,0
151,4.79881,2.543812,122880000,286694401,40960000,0,6400,6400,0,0,7,7,40960000,0
35,5.636092,2.391522,122880000,286694401,40960000,0,6400,6400,0,0,7,7,40960000,0
36,10.441072,1.905771,124807500,291191701,41602500,0,6450,6450,0,0,7,7,41602500,0
37,4.983083,2.303705,126750000,295724001,42250000,0,6500,6500,0,0,7,7,42250000,0
38,5.06746,2.298335,128707500,300291301,42902500,0,6550,6550,0,0,7,7,42902500,0
40,5.056218,2.263017,130680000,304893601,43560000,0,6600,6600,0,0,7,7,43560000,0
153,4.363015,2.331986,130680000,304893601,43560000,0,6600,6600,0,0,7,7,43560000,0
41,5.198183,2.314184,132667500,309530901,44222500,0,6650,6650,0,0,7,7,44222500,0
42,5.038767,2.297066,134670000,314203201,44890000,0,6700,6700,0,0,7,7,44890000,0
43,5.06401,2.320049,136687500,318910501,45562500,0,6750,6750,0,0,7,7,45562500,0
155,4.552572,2.406886,138720000,323652801,46240000,0,6800,6800,0,0,7,7,46240000,0
45,5.292958,2.387237,138720000,323652801,46240000,0,6800,6800,0,0,7,7,46240000,0
46,5.123843,2.317196,140767500,328430101,46922500,0,6850,6850,0,0,7,7,46922500,0
47,5.154231,2.377363,142830000,333242401,47610000,0,6900,6900,0,0,7,7,47610000,0
48,5.136504,2.345151,144907500,338089701,48302500,0,6950,6950,0,0,7,7,48302500,0
157,4.332403,2.329665,147000000,342972001,49000000,0,7000,7000,0,0,7,7,49000000,0
49,5.020454,2.346969,147000000,342972001,49000000,0,7000,7000,0,0,7,7,49000000,0
50,5.201806,2.378263,149107500,347889301,49702500,0,7050,7050,0,0,7,7,49702500,0
51,5.175733,2.320523,151230000,352841601,50410000,0,7100,7100,0,0,7,7,50410000,0
53,5.209259,2.362881,153367500,357828901,51122500,0,7150,7150,0,0,7,7,51122500,0
54,5.406774,2.481207,155520000,362851201,51840000,0,7200,7200,0,0,7,7,51840000,0
160,4.715154,2.439993,155520000,362851201,51840000,0,7200,7200,0,0,7,7,51840000,0
55,5.222151,2.378170,157687500,367908501,52562500,0,7250,7250,0,0,7,7,52562500,0
56,5.205383,2.399511,159870000,373000801,53290000,0,7300,7300,0,0,7,7,53290000,0
58,5.218714,2.422349,162067500,378128101,54022500,0,7350,7350,0,0,7,7,54022500,0
59,5.232947,2.377182,164280000,383290401,54760000,0,7400,7400,0,0,7,7,54760000,0
162,4.433682,2.332363,164280000,383290401,54760000,0,7400,7400,0,0,7,7,54760000,0
60,5.283564,2.423589,166507500,388487701,55502500,0,7450,7450,0,0,7,7,55502500,0
61,5.344484,2.402537,168750000,393720001,56250000,0,7500,7500,0,0,7,7,56250000,0
63,5.290869,2.375735,171007500,398987301,57002500,0,7550,7550,0,0,7,7,57002500,0
64,5.388691,2.468426,173280000,404289601,57760000,0,7600,7600,0,0,7,7,57760000,0
164,4.745628,2.509236,173280000,404289601,57760000,0,7600,7600,0,0,7,7,57760000,0
66,5.356719,2.434483,175567500,409626901,58522500,0,7650,7650,0,0,7,7,58522500,0
67,5.355765,2.430759,177870000,414999201,59290000,0,7700,7700,0,0,7,7,59290000,0
68,5.37233,2.424234,180187500,420406501,60062500,0,7750,7750,0,0,7,7,60062500,0
166,4.573587,2.412099,182520000,425848801,60840000,0,7800,7800,0,0,7,7,60840000,0
69,5.536792,2.348459,182520000,425848801,60840000,0,7800,7800,0,0,7,7,60840000,0
71,5.401818,2.448746,184867500,431326101,61622500,0,7850,7850,0,0,7,7,61622500,0
72,5.663258,2.490988,187230000,436838401,62410000,0,7900,7900,0,0,7,7,62410000,0
73,5.473161,2.448855,189607500,442385701,63202500,0,7950,7950,0,0,7,7,63202500,0
168,4.81341,2.562769,192000000,447968001,64000000,0,8000,8000,0,0,7,7,64000000,0
74,5.721573,2.601385,192000000,447968001,64000000,0,8000,8000,0,0,7,7,64000000,0
75,5.57847,2.430891,194407500,453585301,64802500,0,8050,8050,0,0,7,7,64802500,0
76,5.604459,2.499309,196830000,459237601,65610000,0,8100,8100,0,0,7,7,65610000,0
78,5.835422,2.411961,199267500,464924901,66422500,0,8150,8150,0,0,7,7,66422500,0
79,5.775286,2.480585,201720000,470647201,67240000,0,8200,8200,0,0,7,7,67240000,0
170,4.682339,2.503364,201720000,470647201,67240000,0,8200,8200,0,0,7,7,67240000,0
80,5.704851,2.481211,204187500,476404501,68062500,0,8250,8250,0,0,7,7,68062500,0
81,5.639205,2.479319,206670000,482196801,68890000,0,8300,8300,0,0,7,7,68890000,0
82,5.763205,2.523506,209167500,488024101,69722500,0,8350,8350,0,0,7,7,69722500,0
84,5.683337,2.530875,211680000,493886401,70560000,0,8400,8400,0,0,7,7,70560000,0
173,4.869533,2.670689,211680000,493886401,70560000,0,8400,8400,0,0,7,7,70560000,0
85,5.696932,2.521931,214207500,499783701,71402500,0,8450,8450,0,0,7,7,71402500,0
86,9.863507,4.375966,216750000,505716001,72250000,0,8500,8500,0,0,7,7,72250000,0
87,5.738374,2.519263,219307500,511683301,73102500,0,8550,8550,0,0,7,7,73102500,0
88,6.567468,2.803710,221880000,517685601,73960000,0,8600,8600,0,0,7,7,73960000,0
175,4.599547,2.541976,221880000,517685601,73960000,0,8600,8600,0,0,7,7,73960000,0
90,5.757893,2.543866,224467500,523722901,74822500,0,8650,8650,0,0,7,7,74822500,0
91,5.854525,2.569929,227070000,529795201,75690000,0,8700,8700,0,0,7,7,75690000,0
92,5.88569,2.588516,229687500,535902501,76562500,0,8750,8750,0,0,7,7,76562500,0
177,4.962599,2.715847,232320000,542044801,77440000,0,8800,8800,0,0,7,7,77440000,0
93,5.784775,2.530483,232320000,542044801,77440000,0,8800,8800,0,0,7,7,77440000,0
