,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,X,Y,numPixelsOrig,numPixelsSub,index
272,0.920459,0.367142,116549058,0,0,115684012,10000,10000,19,1449,0,0,6712,8458,100000000,27531,67128458
102,0.72135,0.300769,123248896,0,0,117651746,10000,10000,2343,1665,0,0,6721,1041,100000000,3901095,67211041
292,0.425325,0.177947,74228574,0,0,67066248,10000,10000,1195,5591,0,0,6791,3650,100000000,6681245,67913650
168,0.82661,0.350940,133369454,0,0,131750374,10000,10000,39,465,0,0,6823,1518,100000000,18135,68231518
7,0.605514,0.264720,106277946,0,0,103770237,10000,10000,821,2582,0,0,6824,4007,100000000,2119822,68244007
275,0.702433,0.284583,115893370,0,0,113170135,10000,10000,789,1963,0,0,6870,2389,100000000,1548807,68702389
116,0.723274,0.294739,122486950,0,0,118321667,10000,10000,1896,1756,0,0,6922,6301,100000000,3329376,69226301
200,0.852533,0.362774,135959008,0,0,134337623,10000,10000,1618,431,0,0,6933,9308,100000000,697358,69339308
35,0.689649,0.293684,115145762,0,0,110245655,10000,10000,1308,2500,0,0,7022,751,100000000,3270000,70220751
0,0.90919,0.386962,143057662,0,0,140909581,10000,10000,2766,267,0,0,7127,6531,100000000,738522,71276531
221,0.285691,0.116471,38461780,0,0,21260826,10000,10000,1763,9720,0,0,7223,272,100000000,17136360,72230272
235,0.687499,0.292953,117765384,0,0,114212912,10000,10000,1310,2350,0,0,7231,5838,100000000,3078500,72315838
74,0.921106,0.395949,141573066,0,0,138541373,10000,10000,2072,648,0,0,7244,1707,100000000,1342656,72441707
157,0.942119,0.396716,146404790,0,0,141695039,10000,10000,2621,616,0,0,7298,913,100000000,1614536,72980913
164,0.722028,0.307314,117563992,0,0,115840112,10000,10000,760,2246,0,0,7357,4580,100000000,1706960,73574580
85,0.993643,0.427437,149463010,0,0,147922261,10000,10000,2011,55,0,0,7358,8087,100000000,110605,73588087
269,0.623225,0.263321,107570190,0,0,104314250,10000,10000,776,3214,0,0,7444,6726,100000000,2494064,74446726
16,0.458033,0.193355,86455692,0,0,72999312,10000,10000,2160,6011,0,0,7461,2075,100000000,12983760,74612075
59,0.443444,0.179824,73016706,0,0,55705023,10000,10000,2239,7446,0,0,7513,954,100000000,16671594,75130954
231,0.817304,0.344428,133911970,0,0,132533091,10000,10000,294,1501,0,0,7714,8105,100000000,441294,77148105
37,0.770805,0.335567,138569858,0,0,135464800,10000,10000,1700,1490,0,0,7775,6845,100000000,2533000,77756845
100,0.932932,0.378366,147435036,0,0,145943893,10000,10000,1173,810,0,0,7858,3496,100000000,950130,78583496
122,0.724727,0.301551,124034626,0,0,119367393,10000,10000,1044,2724,0,0,7881,42,100000000,2843856,78810042
174,0.881813,0.374954,141827626,0,0,139939162,10000,10000,1149,1319,0,0,7950,3448,100000000,1515531,79503448
145,0.671766,0.285945,115464044,0,0,114383490,10000,10000,101,2906,0,0,7984,4987,100000000,293506,79844987
91,0.992565,0.432042,151711978,0,0,150994543,10000,10000,348,741,0,0,8114,2913,100000000,257868,81142913
141,0.624675,0.263487,111226108,0,0,108810652,10000,10000,286,3489,0,0,8169,1069,100000000,997854,81691069
5,0.738696,0.316825,129016952,0,0,125444539,10000,10000,998,2655,0,0,8295,992,100000000,2649690,82950992
197,0.766543,0.298679,129485434,0,0,125829307,10000,10000,1136,2652,0,0,8312,1701,100000000,3012672,83121701
154,1.12587,0.472501,161018132,0,0,160094889,10000,10000,13,482,0,0,8360,6982,100000000,6266,83606982
130,0.636953,0.266970,116674158,0,0,112108050,10000,10000,1149,3597,0,0,8396,2986,100000000,4132953,83962986
163,0.301149,0.124069,54980374,0,0,49174280,10000,10000,777,7442,0,0,8473,1685,100000000,5782434,84731685
255,0.768733,0.304960,115738796,0,0,112454575,10000,10000,906,3569,0,0,8486,3224,100000000,3233514,84863224
212,0.833364,0.347199,136153086,0,0,132267837,10000,10000,1350,2449,0,0,8499,6845,100000000,3306150,84996845
182,0.799829,0.339667,134996102,0,0,134482854,10000,10000,8,2148,0,0,8529,6565,100000000,17184,85296565
13,0.610997,0.266990,113593210,0,0,111575176,10000,10000,538,3581,0,0,8532,3130,100000000,1926578,85323130
151,0.686345,0.293123,125692732,0,0,121715494,10000,10000,1106,3152,0,0,8595,1972,100000000,3486112,85951972
219,0.676267,0.278495,110211848,0,0,108370122,10000,10000,348,3827,0,0,8627,1099,100000000,1331796,86271099
73,0.179781,0.077658,34820090,0,0,31534428,10000,10000,391,8370,0,0,8659,1553,100000000,3272670,86591553
242,0.857985,0.358838,144121398,0,0,141744991,10000,10000,726,2008,0,0,8718,1317,100000000,1457808,87181317
290,0.89825,0.374175,151484484,0,0,150065099,10000,10000,189,1502,0,0,8744,7600,100000000,283878,87447600
97,0.546428,0.224302,91580774,0,0,89000648,10000,10000,98,5061,0,0,8747,80,100000000,495978,87470080
68,0.406913,0.175911,77487854,0,0,75155356,10000,10000,375,5846,0,0,8763,1163,100000000,2192250,87631163
283,0.718817,0.305253,123190194,0,0,120458985,10000,10000,661,3391,0,0,8905,1837,100000000,2241451,89051837
142,0.673523,0.275630,116184472,0,0,111560710,10000,10000,976,4027,0,0,8950,1173,100000000,3930352,89501173
38,1.031085,0.439798,163555136,0,0,163114930,10000,10000,427,936,0,0,8972,6181,100000000,399672,89726181
277,1.227607,0.482779,169779388,0,0,169095566,10000,10000,359,670,0,0,9024,2927,100000000,240530,90242927
114,0.871614,0.366309,146522926,0,0,144140482,10000,10000,431,2151,0,0,9029,1368,100000000,927081,90291368
107,1.137505,0.438471,176313004,0,0,174968189,10000,10000,634,387,0,0,9029,6880,100000000,245358,90296880
297,1.129963,0.426498,171226646,0,0,169470683,10000,10000,645,804,0,0,9117,8310,100000000,518580,91178310
143,0.796859,0.332939,137399356,0,0,135690076,10000,10000,197,2686,0,0,9157,6942,100000000,529142,91576942
299,1.154573,0.496108,175849440,0,0,174849071,10000,10000,429,515,0,0,9163,4132,100000000,220935,91634132
284,1.180458,0.498313,180645884,0,0,179314478,10000,10000,595,318,0,0,9190,4765,100000000,189210,91904765
106,1.098929,0.454340,167861988,0,0,166824478,10000,10000,632,1033,0,0,9243,2259,100000000,652856,92432259
140,1.361139,0.563160,154704830,0,0,151850589,10000,10000,607,2045,0,0,9363,6145,100000000,1241315,93636145
36,1.246053,0.505805,191120274,0,0,189164745,10000,10000,388,86,0,0,9440,7007,100000000,33368,94407007
14,1.120749,0.481741,180742676,0,0,178233597,10000,10000,283,714,0,0,9460,7238,100000000,202062,94607238
218,1.217696,0.509624,189908134,0,0,188119883,10000,10000,64,202,0,0,9507,6722,100000000,12928,95076722
118,0.197715,0.081382,36396492,0,0,34504656,10000,10000,112,8306,0,0,9620,509,100000000,930272,96200509
282,1.185813,0.503619,181343532,0,0,180612454,10000,10000,331,657,0,0,9625,4687,100000000,217467,96254687
228,0.902263,0.381530,152415348,0,0,151628199,10000,10000,41,2201,0,0,9669,2324,100000000,90241,96692324
