#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.358097	       0.153160	       60169124	              0	              0	       33790709	          10000	          10000	           2803	           9392	              0	              0
# FOUND (6085,381)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.274083	       0.117646	       51560238	              0	              0	       48390271	          10000	          10000	            581	           5109	              0	              0
# FOUND (4621,4219)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.080341	       0.031316	       15321588	              0	              0	       11324540	          10000	          10000	            591	           4921	              0	              0
# FOUND (721,1065)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.594113	       0.218918	       86992330	              0	              0	       82619406	          10000	          10000	           2420	           1456	              0	              0
# FOUND (4578,4230)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.598741	       0.215992	       86703552	              0	              0	       50793299	          10000	          10000	           5053	           7080	              0	              0
# FOUND (2547,1735)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.072615	       0.027470	       16501278	              0	              0	        9707122	          10000	          10000	           9386	            716	              0	              0
# FOUND (156,8022)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.294607	       0.113732	       52091598	              0	              0	       46357217	          10000	          10000	           1500	           3722	              0	              0
# FOUND (3234,5131)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.313344	       0.134196	       58913982	              0	              0	       44536166	          10000	          10000	           3019	           4488	              0	              0
# FOUND (2735,1119)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.254728	       0.107903	       47092948	              0	              0	       26914877	          10000	          10000	           6698	           2882	              0	              0
# FOUND (473,1115)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.689649	       0.293684	      115145762	              0	              0	      110245655	          10000	          10000	           1308	           2500	              0	              0
# FOUND (7022,751)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       1.246053	       0.505805	      191120274	              0	              0	      189164745	          10000	          10000	            388	             86	              0	              0
# FOUND (9440,7007)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.770805	       0.335567	      138569858	              0	              0	      135464800	          10000	          10000	           1700	           1490	              0	              0
# FOUND (7775,6845)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       1.031085	       0.439798	      163555136	              0	              0	      163114930	          10000	          10000	            427	            936	              0	              0
# FOUND (8972,6181)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.344299	       0.147255	       58901176	              0	              0	       47559619	          10000	          10000	           6362	           1758	              0	              0
# FOUND (2196,7402)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.439672	       0.188904	       67608346	              0	              0	       67238316	          10000	          10000	              5	            290	              0	              0
# FOUND (3442,8880)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.408086	       0.174791	       71232606	              0	              0	       62050068	          10000	          10000	           4976	           1766	              0	              0
# FOUND (3209,7649)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.148103	       0.064357	       27004682	              0	              0	       24290783	          10000	          10000	           3566	            723	              0	              0
# FOUND (1162,7405)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.198244	       0.085738	       33403436	              0	              0	       31721618	          10000	          10000	           3556	            401	              0	              0
# FOUND (1564,5499)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.528893	       0.227072	       86833190	              0	              0	       83074100	          10000	          10000	           4402	            696	              0	              0
# FOUND (4261,8899)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.314735	       0.135924	       58713090	              0	              0	       44333980	          10000	          10000	           6740	           2133	              0	              0
# FOUND (1903,4630)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.298622	       0.127213	       55891976	              0	              0	       50734776	          10000	          10000	           1905	           2344	              0	              0
# FOUND (2976,1555)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.523148	       0.226676	       98122662	              0	              0	       88902084	          10000	          10000	           2313	           3921	              0	              0
# FOUND (6552,4592)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.132095	       0.055065	       23338310	              0	              0	       15546983	          10000	          10000	           5848	           1273	              0	              0
# FOUND (444,2595)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.657674	       0.281772	      113205454	              0	              0	      108807372	          10000	          10000	           2014	           1676	              0	              0
# FOUND (6270,6894)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
