,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,X,Y,numPixelsOrig,numPixelsSub,index
40,0.439672,0.188904,67608346,0,0,67238316,10000,10000,5,290,0,0,3442,8880,100000000,1450,34428880
60,0.343024,0.138091,62560958,0,0,61993140,10000,10000,320,1749,0,0,3721,6968,100000000,559680,37216968
57,0.444231,0.189784,77233502,0,0,50333248,10000,10000,3829,6973,0,0,3869,1164,100000000,26699617,38691164
95,0.381007,0.165300,66626152,0,0,65354400,10000,10000,667,1745,0,0,3880,8043,100000000,1163915,38808043
21,0.268903,0.116332,47370838,0,0,36070640,10000,10000,1592,6929,0,0,4031,1988,100000000,11030968,40311988
19,0.54325,0.233351,85250684,0,0,81470088,10000,10000,5143,610,0,0,4136,3569,100000000,3137230,41363569
58,0.537859,0.212042,82241626,0,0,81825333,10000,10000,1757,220,0,0,4161,5778,100000000,386540,41615778
108,0.487886,0.202171,79513300,0,0,78766425,10000,10000,323,813,0,0,4245,6714,100000000,262599,42456714
44,0.528893,0.227072,86833190,0,0,83074100,10000,10000,4402,696,0,0,4261,8899,100000000,3063792,42618899
109,0.328155,0.139648,55187854,0,0,54836414,10000,10000,69,3674,0,0,4305,4751,100000000,253506,43054751
23,0.429789,0.184520,76942142,0,0,76356641,10000,10000,414,1390,0,0,4399,5780,100000000,575460,43995780
99,0.690593,0.291579,87548024,0,0,70003979,10000,10000,4043,4158,0,0,4489,739,100000000,16810794,44890739
29,0.594113,0.218918,86992330,0,0,82619406,10000,10000,2420,1456,0,0,4578,4230,100000000,3523520,45784230
27,0.274083,0.117646,51560238,0,0,48390271,10000,10000,581,5109,0,0,4621,4219,100000000,2968329,46214219
15,0.453853,0.197243,75613902,0,0,74131955,10000,10000,65,2360,0,0,4753,7330,100000000,153400,47537330
20,0.14668,0.062620,27910342,0,0,25560907,10000,10000,122,7645,0,0,4926,79,100000000,932690,49260079
78,0.431316,0.178958,75333112,0,0,58595889,10000,10000,2756,5992,0,0,5220,2352,100000000,16513952,52202352
88,0.692018,0.297112,99277434,0,0,95682625,10000,10000,2966,1187,0,0,5223,8385,100000000,3520642,52238385
18,0.44924,0.188780,87923388,0,0,71924211,10000,10000,3364,4703,0,0,5277,4970,100000000,15820892,52774970
65,0.467421,0.192989,88696538,0,0,72114198,10000,10000,3136,4785,0,0,5323,1160,100000000,15005760,53231160
76,0.457759,0.198897,80679068,0,0,50886433,10000,10000,3323,8082,0,0,5496,74,100000000,26856486,54960074
103,0.556143,0.238718,99435972,0,0,95164432,10000,10000,2391,1753,0,0,5509,8213,100000000,4191423,55098213
75,0.669243,0.288279,109979772,0,0,107208526,10000,10000,2591,533,0,0,5515,2619,100000000,1381003,55152619
3,0.269431,0.114965,49253850,0,0,45297487,10000,10000,598,6357,0,0,5672,1793,100000000,3801486,56721793
12,0.379289,0.162837,69178052,0,0,64107050,10000,10000,868,4965,0,0,5861,2027,100000000,4309620,58612027
26,0.358097,0.153160,60169124,0,0,33790709,10000,10000,2803,9392,0,0,6085,381,100000000,26325776,60850381
72,0.631045,0.271773,108742164,0,0,106783508,10000,10000,884,1484,0,0,6153,7324,100000000,1311856,61537324
101,0.57817,0.242716,101284028,0,0,98152351,10000,10000,1004,2373,0,0,6228,3152,100000000,2382492,62283152
49,0.657674,0.281772,113205454,0,0,108807372,10000,10000,2014,1676,0,0,6270,6894,100000000,3375464,62706894
89,0.790561,0.336352,121348870,0,0,119314131,10000,10000,1223,678,0,0,6289,7348,100000000,829194,62897348
6,0.656962,0.281997,115348832,0,0,107265013,10000,10000,3364,2121,0,0,6293,1756,100000000,7135044,62931756
17,0.730467,0.294821,115570602,0,0,113438146,10000,10000,1258,1435,0,0,6496,8108,100000000,1805230,64968108
98,0.914165,0.368820,132361750,0,0,130972269,10000,10000,1694,95,0,0,6540,6153,100000000,160930,65406153
47,0.523148,0.226676,98122662,0,0,88902084,10000,10000,2313,3921,0,0,6552,4592,100000000,9069273,65524592
9,0.770441,0.332306,122746002,0,0,120724915,10000,10000,1777,945,0,0,6553,7945,100000000,1679265,65537945
4,0.976975,0.415566,132634312,0,0,131481912,10000,10000,2939,96,0,0,6578,9665,100000000,282144,65789665
102,0.72135,0.300769,123248896,0,0,117651746,10000,10000,2343,1665,0,0,6721,1041,100000000,3901095,67211041
7,0.605514,0.264720,106277946,0,0,103770237,10000,10000,821,2582,0,0,6824,4007,100000000,2119822,68244007
35,0.689649,0.293684,115145762,0,0,110245655,10000,10000,1308,2500,0,0,7022,751,100000000,3270000,70220751
0,0.90919,0.386962,143057662,0,0,140909581,10000,10000,2766,267,0,0,7127,6531,100000000,738522,71276531
74,0.921106,0.395949,141573066,0,0,138541373,10000,10000,2072,648,0,0,7244,1707,100000000,1342656,72441707
85,0.993643,0.427437,149463010,0,0,147922261,10000,10000,2011,55,0,0,7358,8087,100000000,110605,73588087
16,0.458033,0.193355,86455692,0,0,72999312,10000,10000,2160,6011,0,0,7461,2075,100000000,12983760,74612075
59,0.443444,0.179824,73016706,0,0,55705023,10000,10000,2239,7446,0,0,7513,954,100000000,16671594,75130954
37,0.770805,0.335567,138569858,0,0,135464800,10000,10000,1700,1490,0,0,7775,6845,100000000,2533000,77756845
100,0.932932,0.378366,147435036,0,0,145943893,10000,10000,1173,810,0,0,7858,3496,100000000,950130,78583496
